absolute,(adj.8),絕對的;完全的
abstract,(adj.8),抽象的
academic,(adj.8),學術的
accidental,(adj.10),偶然的;意外的
acid,(adj.4),酸性的;有酸味的
adequate,(adj.8),足夠的
admirable,(adj.9),值得讚揚的;絕妙的
aggressive,(adj.10),"好鬥的,挑釁的;有進取精神的"
agreeable,(adj.9),欣然贊同的
alert,(adj.5),警惕的;機敏的
amateur,(adj.7),業餘的;外行的
ambitious,(adj.9),有野心的
annual,(adj.6),一年一次的;每年的
anxious,(adj.7),"焦慮的,掛念的"
appropriate,(adj.11),"適當的,恰當的"
artificial,(adj.10),人工的
artistic,(adj.8),藝術的
ashamed,(adj.7),羞愧的
associate,(adj.9),夥伴的;共事的;副的;聯合的
athletic,(adj.8),"運動的,體育的;行動敏捷的"
atomic,(adj.6),原子的
audio,(adj.5),"聽覺的,聲音的"
awkward,(adj.7),笨拙的;尷尬的
bald,(adj.4),禿頭的
bankrupt,(adj.8),破產的;已完全失敗的
broke,(adj.5),一文不名的;破了產的
brutal,(adj.6),野蠻的;粗暴的
characteristic,(adj.14),"特有的,獨特的"
circular,(adj.8),圓形的;環形的
civilian,(adj.8),百姓的;民用的
clumsy,(adj.6),笨拙的
coarse,(adj.6),"粗的,粗糙的"
comic,(adj.5),滑稽的
competitive,(adj.11),競爭的
concrete,(adj.8),具體的
consequent,(adj.10),隨之發生的
conservative,(adj.12),"保守的,守舊的"
consistent,(adj.10),"始終如一的,前後一致的"
constructive,(adj.12),建設性的;積極的;有助益的
content,(adj.7),滿意的;甘願的
continual,(adj.9),"不間斷的,連續的"
continuous,(adj.10),"連續的,不斷的"
contrary,(adj.8),"相反的,對立的"
conventional,(adj.12),"習慣的,慣例的"
cooperative,(adj.11),合作的;合作社的
copper,(adj.6),紅銅色的
counter,(adj.7),相反的;反對的;對立的
courageous,(adj.10),"英勇的,勇敢的"
courteous,(adj.9),有禮貌的
critical,(adj.8),"緊要的,關鍵性的,危急的"
cunning,(adj.7),"狡猾的,奸詐的"
damp,(adj.4),有濕氣的;潮濕的
defensible,(adj.10),可防禦的;可辯護的
defensive,(adj.9),防禦的
definite,(adj.8),"明確的,確切的"
delicate,(adj.8),易碎的;嬌貴的
delightful,(adj.10),"令人愉快的,令人高興的"
dense,(adj.5),"密集的,稠密的"
dependable,(adj.10),可靠的;可信任的
dependent,(adj.9),依靠的;依賴的
desperate,(adj.9),極度渴望的
detective,(adj.9),偵查用的;探測用的
digital,(adj.7),數字的
distinct,(adj.8),與其他不同的
distinguished,(adj.13),卓越的;著名的
divine,(adj.6),"神授的,天賜的"
dominant,(adj.8),"佔優勢的,支配的,統治的"
durable,(adj.7),"經久的,耐用的"
dusty,(adj.5),滿是灰塵的
dynamic,(adj.7),動態的
earnest,(adj.7),誠摯的;熱心的
economic,(adj.8),經濟上的;經濟學的
economical,(adj.10),"經濟的,節約的"
elastic,(adj.7),"有彈性的,有彈力的"
elegant,(adj.7),"優美的,漂亮的"
elementary,(adj.10),"基本的;初級的,基礎的"
emotional,(adj.9),易動情的
enormous,(adj.8),巨大的
envious,(adj.7),嫉妒的;羨慕的
essential,(adj.9),必要的;實質的
eventual,(adj.8),最後的;結果的
evident,(adj.7),明顯的;明白的
experimental,(adj.12),實驗性的;試驗性的
explosive,(adj.9),爆炸(性)的;爆發性的
facial,(adj.6),臉的;面部的
faithful,(adj.8),忠實的;忠誠的
fantastic,(adj.9),奇妙的
fatal,(adj.5),致命的
favorable,(adj.9),適合的
fertile,(adj.7),"(土地)肥沃的,富饒的;受精的"
fierce,(adj.6),兇猛的;殘酷的
financial,(adj.9),財政的;金融的
flexible,(adj.8),可彎曲的;可變通的
fluent,(adj.6),"流利的,流暢的"
fortunate,(adj.9),"幸運的,僥倖的"
fossil,(adj.6),化石的;守舊的
fragrant,(adj.8),香的
functional,(adj.10),機能的;實用的
fundamental,(adj.11),基礎的;根本的
furious,(adj.7),狂怒的
genuine,(adj.7),真的;非偽造的
gifted,(adj.6),"有天資的,有天賦的"
gigantic,(adj.8),"巨大的,龐大的"
glorious,(adj.8),"壯觀的,壯麗的"
graceful,(adj.8),"優美的,雅緻的"
gracious,(adj.8),親切的;和藹的
grammatical,(adj.11),文法的;合乎文法的
grateful,(adj.8),"感謝的,感激的"
grave,(adj.5),"嚴重的;嚴肅的,認真的"
greasy,(adj.6),油膩的
guilty,(adj.6),有罪的
habitual,(adj.8),習以為常的
harsh,(adj.5),粗糙的
healthful,(adj.9),有益於健康的
honorable,(adj.9),可尊敬的
hopeful,(adj.7),抱有希望的
identical,(adj.9),完全相同的
idle,(adj.4),無所事事的
ignorant,(adj.8),"無知的,不學無術的"
imaginable,(adj.10),能想像的
imaginary,(adj.9),虛構的;幻想的
imaginative,(adj.11),虛構的;幻想的
influential,(adj.11),有影響的
informative,(adj.11),教育性的;有益的
initial,(adj.7),"開始的,最初的"
intellectual,(adj.12),智力的
intelligent,(adj.11),有才智的
intense,(adj.7),"強烈的,劇烈的"
intensive,(adj.9),加強的;密集的
intermediate,(adj.12),"中等程度的,中級的"
intimate,(adj.8),"親密的,熟悉的"
junior,(adj.6),年紀較輕的;資淺的三年級(生)的
keen,(adj.4),熱心的;敏銳的;渴望的
lawful,(adj.6),合法的
lean,(adj.4),精瘦的;貧乏的
learned,(adj.7),"有學問的,博學的;精通的"
leisurely,(adj.9),"從容不迫的,悠閒的"
literary,(adj.8),"文學的,文藝的"
logical,(adj.7),合邏輯的;合理的
lousy,(adj.5),不潔的;卑鄙的;討厭的
